id,opened_ts,slug,market_id,side,entry_price,initial_size,remaining_size,entry_edge,entry_note,entry_source,trade_token_id,closed_ts,close_price,close_note,realized_pnl,result,trigger_reason,failure_reason_if_loss
129,2026-03-01T17:51:02.763243+00:00,btc-updown-5m-1772387400,1467677,BUY_NO,0.5,19.2823319306748,0.0,0.30000000000000004,edge=0.3000 spread=0.01 depth=2942.8 imbalance=0.15 source=clob bal=1928.23 risk=9.64,clob,25429956715831541607338303331062303771803752953420994104037504326779930804625,2026-03-01T17:52:30.527728+00:00,0.5900000000000001,auto_take_profit,1.7354098737607335,WIN,edge=0.3000 spread=0.01 depth=2942.8 imbalance=0.15 source=clob bal=1928.23 risk=9.64,
130,2026-03-01T17:51:43.355145+00:00,btc-updown-5m-1772387400,1467677,BUY_YES,0.47,21.27659574468085,,0.09911894002575639,edge=0.0991 spread=0.01 depth=1228.3 imbalance=0.02 source=clob,clob,79004729771308714009459252356563059509444967314795608581725030335137553085740,2026-03-01T17:53:18.584093+00:00,0.56,auto_take_profit,1.9148936170212782,WIN,edge=0.0991 spread=0.01 depth=1228.3 imbalance=0.02 source=clob,
131,2026-03-01T17:52:03.481971+00:00,btc-updown-5m-1772387400,1467677,BUY_NO,0.49,19.675848908851837,0.0,0.31000000000000005,edge=0.3100 spread=0.01 depth=4178.1 imbalance=0.04 source=clob bal=1928.23 risk=9.64,clob,25429956715831541607338303331062303771803752953420994104037504326779930804625,2026-03-01T17:52:30.527728+00:00,0.5900000000000001,auto_take_profit,1.9675848908851854,WIN,edge=0.3100 spread=0.01 depth=4178.1 imbalance=0.04 source=clob bal=1928.23 risk=9.64,
132,2026-03-01T17:52:24.003779+00:00,btc-updown-5m-1772387400,1467677,BUY_YES,0.43,23.25581395348837,,0.13911894002575637,edge=0.1391 spread=0.01 depth=6796.6 imbalance=0.49 source=clob,clob,79004729771308714009459252356563059509444967314795608581725030335137553085740,2026-03-01T17:53:04.911344+00:00,0.52,auto_take_profit,2.093023255813954,WIN,edge=0.1391 spread=0.01 depth=6796.6 imbalance=0.49 source=clob,
133,2026-03-01T17:52:37.455373+00:00,btc-updown-5m-1772387400,1467677,BUY_NO,0.62,15.595375907509771,15.595375907509771,0.18000000000000005,edge=0.1800 spread=0.01 depth=3570.6 imbalance=-0.08 source=clob bal=1933.83 risk=9.67,clob,25429956715831541607338303331062303771803752953420994104037504326779930804625,2026-03-01T17:53:04.947269+00:00,0.47,auto_stop_loss,-2.339306386126466,LOSS,edge=0.1800 spread=0.01 depth=3570.6 imbalance=-0.08 source=clob bal=1933.83 risk=9.67,Stopped out before reversal / adverse move exceeded stop rule
134,2026-03-01T17:52:58.157512+00:00,btc-updown-5m-1772387400,1467677,BUY_NO,0.5900000000000001,16.94915254237288,,0.20999999999999996,edge=0.2100 spread=0.01 depth=3492.5 imbalance=0.53 source=clob,clob,25429956715831541607338303331062303771803752953420994104037504326779930804625,2026-03-01T17:53:04.947269+00:00,0.47,auto_stop_loss,-2.0338983050847474,LOSS,edge=0.2100 spread=0.01 depth=3492.5 imbalance=0.53 source=clob,Stopped out before reversal / adverse move exceeded stop rule
135,2026-03-01T17:53:39.570373+00:00,btc-updown-5m-1772387400,1467677,BUY_NO,0.36,26.853629509900497,26.853629509900497,0.44000000000000006,edge=0.4400 spread=0.01 depth=11682.2 imbalance=-0.85 source=clob bal=1933.46 risk=9.67,clob,25429956715831541607338303331062303771803752953420994104037504326779930804625,2026-03-01T17:54:41.178312+00:00,0.43999999999999995,auto_take_profit,2.1482903607920387,WIN,edge=0.4400 spread=0.01 depth=11682.2 imbalance=-0.85 source=clob bal=1933.46 risk=9.67,
136,2026-03-01T17:54:00.102707+00:00,btc-updown-5m-1772387400,1467677,BUY_NO,0.33999999999999997,28.43325477518876,28.43325477518876,0.4600000000000001,edge=0.4600 spread=0.01 depth=3124.9 imbalance=-0.38 source=clob bal=1933.46 risk=9.67,clob,25429956715831541607338303331062303771803752953420994104037504326779930804625,2026-03-01T17:54:26.881359+00:00,0.41000000000000003,auto_take_profit,1.9903278342632151,WIN,edge=0.4600 spread=0.01 depth=3124.9 imbalance=-0.38 source=clob bal=1933.46 risk=9.67,
137,2026-03-01T17:54:41.214593+00:00,btc-updown-5m-1772387400,1467677,BUY_NO,0.44999999999999996,22.222222222222225,,0.3500000000000001,edge=0.3500 spread=0.01 depth=1150.6 imbalance=0.60 source=clob,clob,25429956715831541607338303331062303771803752953420994104037504326779930804625,2026-03-01T17:54:54.496333+00:00,0.36,auto_stop_loss,-1.9999999999999996,LOSS,edge=0.3500 spread=0.01 depth=1150.6 imbalance=0.60 source=clob,Stopped out before reversal / adverse move exceeded stop rule
138,2026-03-01T17:55:01.314229+00:00,btc-updown-5m-1772387700,1467707,BUY_NO,0.5,20.0,,0.30000000000000004,edge=0.3000 spread=0.01 depth=5127.3 imbalance=-0.15 source=clob,clob,4951573660229054666962818959297773652223402082168973995303004580207675772322,2026-03-01T17:56:57.179642+00:00,0.6,auto_take_profit,1.9999999999999996,WIN,edge=0.3000 spread=0.01 depth=5127.3 imbalance=-0.15 source=clob,
